Filename,Aspect Ratio,Area
0000001.jpg,6.2,7595
0000001.jpg,0.16129032258064516,7595
0000002.jpg,2.1683168316831685,22119
0000002.jpg,0.4611872146118721,22119
0000003.jpg,4.213114754098361,15677
0000003.jpg,0.23735408560311283,15677
0000004.jpg,0.27740492170022374,55428
0000004.jpg,3.6048387096774195,55428
0000005.jpg,1.3916666666666666,20040
0000005.jpg,0.718562874251497,20040
0000006.jpg,1.3916666666666666,20040
0000006.jpg,0.718562874251497,20040
0000007.jpg,2.051282051282051,12480
0000007.jpg,0.4875,12480
0000008.jpg,0.2669683257918552,52156
0000008.jpg,3.7457627118644066,52156
0000009.jpg,1.4083333333333334,20280
0000009.jpg,0.7100591715976331,20280
0000010.jpg,1.731958762886598,16296
0000010.jpg,0.5773809523809523,16296
0000011.jpg,0.6545454545454545,31680
0000011.jpg,1.5277777777777777,31680
0000012.jpg,0.6590909090909091,31900
0000012.jpg,1.5172413793103448,31900
0000013.jpg,0.7545454545454545,36520
0000013.jpg,1.3253012048192772,36520
0000014.jpg,0.8465116279069768,39130
0000014.jpg,1.1813186813186813,39130
0000015.jpg,0.6698564593301436,29260
0000015.jpg,1.4928571428571429,29260
0000016.jpg,0.6513761467889908,30956
0000016.jpg,1.5352112676056338,30956
0000017.jpg,0.75,36300
0000017.jpg,1.3333333333333333,36300
0000018.jpg,0.8545454545454545,41360
0000018.jpg,1.1702127659574468,41360
0000019.jpg,0.8333333333333334,38880
0000019.jpg,1.2,38880
0000020.jpg,0.6636363636363637,32120
0000020.jpg,1.5068493150684932,32120
0000021.jpg,0.6681818181818182,32340
0000021.jpg,1.4965986394557824,32340
0000022.jpg,0.6545454545454545,31680
0000022.jpg,1.5277777777777777,31680
0000023.jpg,0.6681818181818182,32340
0000023.jpg,1.4965986394557824,32340
0000024.jpg,0.6363636363636364,30800
0000024.jpg,1.5714285714285714,30800
0000025.jpg,0.66,26400
0000025.jpg,1.5151515151515151,26400
0000026.jpg,0.6227272727272727,30140
0000026.jpg,1.6058394160583942,30140
0000027.jpg,0.65,31460
0000027.jpg,1.5384615384615385,31460
0000028.jpg,0.6545454545454545,31680
0000028.jpg,1.5277777777777777,31680
0000029.jpg,0.65,31460
0000029.jpg,1.5384615384615385,31460
0000030.jpg,0.6590909090909091,31900
0000030.jpg,1.5172413793103448,31900
0000031.jpg,0.6227272727272727,30140
0000031.jpg,1.6058394160583942,30140
0000032.jpg,0.6590909090909091,31900
0000032.jpg,1.5172413793103448,31900
0000033.jpg,0.6590909090909091,31900
0000033.jpg,1.5172413793103448,31900
0000034.jpg,0.6545454545454545,31680
0000034.jpg,1.5277777777777777,31680
0000035.jpg,0.6511627906976745,30100
0000035.jpg,1.5357142857142858,30100
0000036.jpg,0.65,31460
0000036.jpg,1.5384615384615385,31460
0000037.jpg,0.6262626262626263,24552
0000037.jpg,1.596774193548387,24552
0000038.jpg,0.6545454545454545,31680
0000038.jpg,1.5277777777777777,31680
0000039.jpg,0.6590909090909091,31900
0000039.jpg,1.5172413793103448,31900
0000040.jpg,0.6747572815533981,28634
0000040.jpg,1.4820143884892085,28634
0000041.jpg,0.6636363636363637,32120
